Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFG%,WFGM3,WFGA3,WFG3%,WFTM,WFTA,WFT%,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFG%,LFGM3,LFGA3,LFG3%,LFTM,LFTA,LFT%,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2003,134,1421,92,1411,84,N,1,32,69,0.464,11,29,0.379,17,26,0.654,14,30,17,12,5,3,22,29,67,0.433,12,31,0.387,14,31,0.452,17,28,16,15,5,0,22
2003,136,1112,80,1436,51,N,0,31,66,0.470,7,23,0.304,11,14,0.786,11,36,22,16,10,7,8,20,64,0.313,4,16,0.250,7,7,1.000,8,26,12,17,10,3,15
2003,136,1113,84,1272,71,N,0,31,59,0.525,6,14,0.429,16,22,0.727,10,27,18,9,7,4,19,25,69,0.362,7,28,0.250,14,21,0.667,20,22,11,12,2,5,18
2003,136,1141,79,1166,73,N,0,29,53,0.547,3,7,0.429,18,25,0.720,11,20,15,18,13,1,19,27,60,0.450,7,17,0.412,12,17,0.706,14,17,20,21,6,6,21
2003,136,1143,76,1301,74,N,1,27,64,0.422,7,20,0.350,15,23,0.652,18,20,17,13,8,2,14,25,56,0.446,9,21,0.429,15,20,0.750,10,26,16,14,5,8,19
2003,136,1163,58,1140,53,N,0,17,52,0.327,4,14,0.286,20,27,0.741,12,29,8,14,3,8,16,20,64,0.313,2,17,0.118,11,13,0.846,15,26,11,11,8,4,22
2003,136,1181,67,1161,57,N,0,19,54,0.352,4,13,0.308,25,31,0.806,13,27,4,16,10,8,23,18,54,0.333,3,11,0.273,18,22,0.818,11,24,8,19,5,4,19
2003,136,1211,74,1153,69,N,0,20,47,0.426,6,14,0.429,28,37,0.757,8,28,12,12,2,2,15,26,66,0.394,10,27,0.370,7,10,0.700,13,22,13,10,7,6,24
2003,136,1228,65,1443,60,N,0,24,56,0.429,5,14,0.357,12,14,0.857,15,23,15,14,11,4,14,22,58,0.379,8,24,0.333,8,13,0.615,17,18,10,14,6,5,16
2003,136,1242,64,1429,61,N,0,28,51,0.549,2,6,0.333,6,11,0.545,7,20,13,11,8,4,17,23,56,0.411,6,17,0.353,9,10,0.900,13,19,13,13,6,1,15
2003,136,1266,72,1221,68,N,0,22,51,0.431,9,16,0.563,19,23,0.826,11,20,14,10,4,3,23,24,54,0.444,5,15,0.333,15,25,0.600,14,20,14,9,4,1,20
2003,136,1281,72,1356,71,N,0,28,52,0.538,5,13,0.385,11,18,0.611,9,32,7,23,4,6,19,26,65,0.400,8,19,0.421,11,21,0.524,11,18,19,13,6,0,19
2003,136,1323,70,1454,69,N,0,23,54,0.426,3,13,0.231,21,25,0.840,11,33,7,20,6,6,19,23,66,0.348,8,23,0.348,15,20,0.750,14,23,15,12,11,3,25
2003,136,1328,71,1354,54,N,0,24,52,0.462,10,18,0.556,13,24,0.542,11,24,16,14,8,3,12,21,52,0.404,6,20,0.300,6,8,0.750,7,22,8,18,7,2,23
2003,136,1390,77,1360,69,N,0,29,64,0.453,8,24,0.333,11,15,0.733,12,29,16,14,4,8,24,20,61,0.328,4,18,0.222,25,32,0.781,17,25,7,11,3,0,18
2003,136,1409,84,1173,71,N,0,33,57,0.579,8,12,0.667,10,13,0.769,8,26,18,12,6,1,11,28,66,0.424,9,28,0.321,6,9,0.667,12,16,11,11,3,3,19
2003,136,1458,81,1451,74,N,0,31,58,0.534,6,16,0.375,13,22,0.591,10,24,16,9,7,2,16,29,71,0.408,7,24,0.292,9,15,0.600,22,21,9,10,4,0,20
2003,137,1120,65,1386,63,N,1,25,57,0.439,7,18,0.389,8,13,0.615,14,24,11,15,4,5,16,22,59,0.373,6,24,0.250,13,16,0.813,15,21,11,12,8,4,19
2003,137,1139,47,1280,46,N,0,18,47,0.383,5,18,0.278,6,8,0.750,7,19,5,8,3,0,15,16,44,0.364,6,21,0.286,8,14,0.571,8,22,10,10,6,4,13
2003,137,1196,85,1358,55,N,0,32,61,0.525,13,28,0.464,8,14,0.571,9,31,24,10,6,3,15,19,57,0.333,6,18,0.333,11,18,0.611,12,25,10,16,1,4,16
2003,137,1231,67,1104,62,N,0,19,49,0.388,7,18,0.389,22,26,0.846,13,22,15,8,1,2,17,22,52,0.423,5,12,0.417,13,16,0.813,9,20,13,8,2,6,21
2003,137,1246,95,1237,64,N,0,40,65,0.615,10,20,0.500,5,11,0.455,10,25,22,13,7,4,17,22,60,0.367,4,15,0.267,16,22,0.727,15,18,10,19,7,1,15
2003,137,1257,86,1122,64,N,0,35,70,0.500,8,24,0.333,8,13,0.615,15,29,18,12,12,4,22,24,54,0.444,2,21,0.095,14,22,0.636,8,21,11,18,5,3,18
2003,137,1268,75,1423,73,N,0,27,54,0.500,10,19,0.526,11,15,0.733,8,27,17,13,3,3,20,20,55,0.364,13,29,0.448,20,26,0.769,10,19,16,8,7,1,19
2003,137,1277,79,1160,64,N,0,26,56,0.464,7,13,0.538,20,25,0.800,10,28,16,11,5,1,18,26,60,0.433,5,14,0.357,7,17,0.412,12,23,9,13,6,8,19
2003,137,1329,77,1335,63,N,0,27,50,0.540,7,20,0.350,16,28,0.571,10,15,15,11,12,0,17,20,41,0.488,8,18,0.444,15,16,0.938,2,13,17,18,5,0,20
2003,137,1338,87,1447,61,N,0,33,59,0.559,9,16,0.563,12,21,0.571,10,23,22,9,14,6,19,21,51,0.412,7,21,0.333,12,18,0.667,9,20,13,19,6,2,20
2003,137,1345,80,1261,56,N,0,27,52,0.519,9,16,0.563,17,19,0.895,8,25,7,19,9,1,18,20,60,0.333,6,26,0.231,10,17,0.588,17,18,7,16,7,3,13
2003,137,1393,76,1264,65,N,0,30,52,0.577,4,11,0.364,12,15,0.800,11,28,16,18,5,9,17,22,61,0.361,6,21,0.286,15,18,0.833,14,14,16,11,9,2,14
2003,137,1400,82,1421,61,N,0,31,62,0.500,6,16,0.375,14,20,0.700,19,28,15,14,6,2,16,23,62,0.371,5,21,0.238,10,12,0.833,13,16,5,11,9,3,16
2003,137,1428,60,1332,58,N,0,18,61,0.295,9,23,0.391,15,18,0.833,13,23,8,15,7,4,22,19,55,0.345,3,17,0.176,17,24,0.708,13,29,8,17,6,2,22
2003,137,1448,76,1190,73,N,0,29,69,0.420,6,23,0.261,12,20,0.600,19,29,13,19,8,9,19,24,60,0.400,5,10,0.500,20,28,0.714,13,25,7,15,12,4,20
2003,137,1462,71,1407,59,N,0,26,64,0.406,6,20,0.300,13,18,0.722,17,30,19,10,5,4,11,23,65,0.354,11,29,0.379,2,6,0.333,12,21,13,9,6,6,19
2003,138,1112,96,1211,95,N,2,34,74,0.459,7,24,0.292,21,29,0.724,18,29,18,9,7,4,20,34,77,0.442,11,30,0.367,16,21,0.762,16,27,20,11,5,5,25
2003,138,1163,85,1390,74,N,0,31,68,0.456,6,10,0.600,17,21,0.810,17,26,12,9,4,1,13,27,62,0.435,8,23,0.348,12,17,0.706,11,22,12,11,2,6,18
2003,138,1181,86,1141,60,N,0,32,52,0.615,10,15,0.667,12,16,0.750,4,23,14,11,15,9,18,21,57,0.368,8,17,0.471,10,14,0.714,14,19,8,21,4,2,14
2003,138,1242,108,1113,76,N,0,40,59,0.678,5,9,0.556,23,34,0.676,12,28,21,13,6,6,20,28,69,0.406,4,15,0.267,16,23,0.696,17,14,11,11,7,5,21
2003,138,1266,101,1281,92,N,1,35,62,0.565,12,18,0.667,19,20,0.950,8,25,18,12,6,0,20,31,72,0.431,15,36,0.417,15,19,0.789,18,20,19,12,4,4,17
2003,138,1323,68,1228,60,N,0,25,61,0.410,13,24,0.542,5,5,1.000,5,32,12,11,5,4,13,22,63,0.349,5,17,0.294,11,16,0.688,10,31,12,9,6,3,10
2003,138,1328,74,1143,65,N,0,26,51,0.510,7,13,0.538,15,24,0.625,13,23,16,12,2,2,15,27,52,0.519,5,16,0.313,6,12,0.500,6,18,6,9,5,4,23
2003,138,1458,61,1409,60,N,0,22,57,0.386,6,22,0.273,11,17,0.647,10,22,12,5,5,3,11,26,59,0.441,3,11,0.273,5,5,1.000,11,30,12,11,1,3,16
2003,139,1120,68,1448,62,N,0,24,56,0.429,4,19,0.211,16,20,0.800,12,21,11,14,9,6,18,18,49,0.367,8,23,0.348,18,21,0.857,12,23,5,18,7,7,23
2003,139,1139,79,1257,71,N,0,27,52,0.519,14,22,0.636,11,19,0.579,10,18,21,12,6,2,11,28,54,0.519,11,25,0.440,4,4,1.000,8,19,13,14,8,2,21
2003,139,1246,74,1428,54,N,0,26,55,0.473,4,13,0.308,18,18,1.000,13,22,11,13,4,3,16,19,48,0.396,4,14,0.286,12,16,0.750,8,14,8,16,7,2,19
2003,139,1268,77,1462,64,N,0,30,58,0.517,3,13,0.231,14,17,0.824,7,32,19,8,2,6,21,20,57,0.351,7,18,0.389,17,24,0.708,8,20,12,7,2,0,16
2003,139,1277,68,1196,46,N,0,25,45,0.556,6,16,0.375,12,18,0.667,9,21,15,10,5,0,18,16,43,0.372,5,21,0.238,9,12,0.750,8,14,9,14,2,1,20
2003,139,1338,74,1231,52,N,0,25,47,0.532,4,9,0.444,20,28,0.714,10,21,15,11,9,1,14,19,44,0.432,6,17,0.353,8,10,0.800,5,15,13,16,3,2,18
2003,139,1393,68,1329,56,N,0,26,57,0.456,5,12,0.417,11,18,0.611,5,33,16,17,11,9,19,22,63,0.349,3,19,0.158,9,19,0.474,11,27,16,22,8,4,19
2003,139,1400,77,1345,67,N,0,25,62,0.403,5,11,0.455,22,26,0.846,13,27,8,13,4,0,21,23,62,0.371,5,16,0.313,16,24,0.667,13,22,10,13,7,2,24
2003,143,1112,88,1323,71,N,0,36,76,0.474,7,14,0.500,9,11,0.818,14,30,19,10,12,5,17,25,59,0.424,10,23,0.435,11,18,0.611,9,27,15,19,6,4,16
2003,143,1242,69,1181,65,N,0,29,67,0.433,1,12,0.083,10,17,0.588,18,29,14,17,4,5,16,25,65,0.385,10,26,0.385,5,8,0.625,11,22,11,14,6,7,18
2003,143,1246,63,1458,57,N,0,24,49,0.490,1,5,0.200,14,24,0.583,12,21,9,14,10,4,17,19,45,0.422,8,21,0.381,11,16,0.688,7,19,9,15,7,1,20
2003,143,1266,77,1338,74,N,0,28,54,0.519,6,12,0.500,15,22,0.682,10,18,16,10,7,3,18,29,55,0.527,4,14,0.286,12,15,0.800,10,20,18,12,6,4,19
2003,144,1277,60,1268,58,N,0,22,56,0.393,6,17,0.353,10,12,0.833,11,26,10,18,8,3,20,20,54,0.370,2,16,0.125,16,18,0.889,9,24,8,15,12,4,15
2003,144,1328,65,1139,54,N,0,27,55,0.491,4,10,0.400,7,12,0.583,19,20,15,13,6,1,18,19,43,0.442,4,13,0.308,12,17,0.706,7,14,10,13,7,2,18
2003,144,1393,79,1120,78,N,0,29,66,0.439,5,14,0.357,16,21,0.762,15,21,14,10,9,7,17,27,63,0.429,10,22,0.455,14,17,0.824,14,26,15,17,5,5,19
2003,144,1400,82,1163,78,N,0,24,69,0.348,5,18,0.278,29,36,0.806,21,31,13,10,5,5,21,30,71,0.423,4,13,0.308,14,25,0.560,14,27,13,11,7,8,21
2003,145,1242,78,1112,75,N,0,29,67,0.433,8,26,0.308,12,18,0.667,15,22,16,15,13,5,20,23,55,0.418,10,22,0.455,19,23,0.826,11,26,16,19,8,2,17
2003,145,1266,83,1246,69,N,0,31,55,0.564,10,19,0.526,11,15,0.733,10,26,21,15,6,6,22,25,64,0.391,4,16,0.250,15,24,0.625,20,16,14,11,10,2,19
2003,146,1393,63,1328,47,N,0,25,48,0.521,2,12,0.167,11,19,0.579,12,28,16,24,13,2,13,18,58,0.310,5,28,0.179,6,11,0.545,14,14,10,19,13,4,16
2003,146,1400,85,1277,76,N,0,25,51,0.490,6,14,0.429,29,38,0.763,8,20,16,4,6,4,22,25,54,0.463,8,16,0.500,18,26,0.692,12,26,11,12,1,2,28
2003,152,1242,94,1266,61,N,0,38,71,0.535,8,19,0.421,10,17,0.588,19,33,22,12,8,5,15,23,74,0.311,3,16,0.188,12,18,0.667,21,18,7,11,7,3,17
2003,152,1393,95,1400,84,N,0,32,56,0.571,7,13,0.538,24,31,0.774,9,28,14,13,9,2,21,27,63,0.429,10,21,0.476,20,32,0.625,17,17,20,14,6,2,26
2003,154,1393,81,1242,78,N,0,30,63,0.476,11,18,0.611,10,17,0.588,11,25,13,17,10,7,22,31,71,0.437,4,20,0.200,12,30,0.400,26,26,18,18,9,4,16
2004,134,1197,72,1250,57,N,0,25,63,0.397,6,20,0.300,16,23,0.696,19,25,11,12,8,2,15,18,61,0.295,7,30,0.233,14,19,0.737,21,21,12,17,7,3,20
2004,136,1104,65,1356,64,N,0,24,53,0.453,7,16,0.438,10,16,0.625,11,24,7,12,7,2,7,24,59,0.407,12,22,0.545,4,5,0.800,10,20,15,10,4,1,14
2004,136,1163,70,1436,53,N,0,26,52,0.500,6,14,0.429,12,23,0.522,11,31,14,13,6,3,8,19,60,0.317,11,32,0.344,4,6,0.667,11,18,10,12,7,1,19
2004,136,1177,76,1173,69,N,2,24,59,0.407,5,13,0.385,23,40,0.575,11,38,13,11,4,3,19,27,79,0.342,3,20,0.150,12,23,0.522,18,32,11,10,5,3,29
2004,136,1181,96,1106,61,N,0,32,66,0.485,9,26,0.346,23,31,0.742,17,29,19,14,14,4,19,22,57,0.386,7,20,0.350,10,17,0.588,9,22,7,21,7,1,20
2004,136,1211,76,1434,49,N,0,29,54,0.537,3,13,0.231,15,25,0.600,10,36,19,15,6,5,14,18,63,0.286,6,23,0.261,7,11,0.636,10,21,8,13,6,0,20
2004,136,1264,75,1196,60,N,0,26,60,0.433,6,15,0.400,17,21,0.810,13,23,10,10,8,4,21,21,45,0.467,3,13,0.231,15,22,0.682,4,22,4,14,4,4,18
2004,136,1268,86,1431,83,N,0,29,59,0.492,8,18,0.444,20,31,0.645,16,21,17,14,7,6,20,29,56,0.518,5,17,0.294,20,24,0.833,9,20,13,14,2,2,25
2004,136,1305,72,1277,66,N,0,20,46,0.435,7,22,0.318,25,29,0.862,5,23,10,17,6,2,16,23,55,0.418,5,16,0.313,15,18,0.833,6,20,14,14,9,0,25
