Season,WTeamID,WScore,LTeamID,LScore,WTS%,WFG%,WFG3%,WFT%,LTS%,LFG%,LFG3%,LFT%
2003,1421,92,1411,84,0.420,0.464,0.379,0.654,0.376,0.433,0.387,0.452
2003,1112,80,1436,51,0.420,0.47,0.304,0.786,0.307,0.313,0.25,1
2003,1113,84,1272,71,0.508,0.525,0.429,0.727,0.334,0.362,0.25,0.667
2003,1141,79,1166,73,0.556,0.547,0.429,0.72,0.432,0.45,0.412,0.706
2003,1143,76,1301,74,0.404,0.422,0.35,0.652,0.431,0.446,0.429,0.75
2003,1163,58,1140,53,0.372,0.327,0.286,0.741,0.306,0.313,0.118,0.846
2003,1181,67,1161,57,0.415,0.352,0.308,0.806,0.382,0.333,0.273,0.818
2003,1211,74,1153,69,0.479,0.426,0.429,0.757,0.354,0.394,0.37,0.7
2003,1228,65,1443,60,0.427,0.429,0.357,0.857,0.342,0.379,0.333,0.615
2003,1242,64,1429,61,0.517,0.549,0.333,0.545,0.394,0.411,0.353,0.9
2003,1266,72,1221,68,0.467,0.431,0.563,0.826,0.425,0.444,0.333,0.6
2003,1281,72,1356,71,0.494,0.538,0.385,0.611,0.381,0.4,0.421,0.524
2003,1323,70,1454,69,0.449,0.426,0.231,0.84,0.353,0.348,0.348,0.75
2003,1328,71,1354,54,0.441,0.462,0.556,0.542,0.358,0.404,0.3,0.75
2003,1390,77,1360,69,0.407,0.453,0.333,0.733,0.371,0.328,0.222,0.781
2003,1409,84,1173,71,0.562,0.579,0.667,0.769,0.362,0.424,0.321,0.667
2003,1458,81,1451,74,0.484,0.534,0.375,0.591,0.364,0.408,0.292,0.6
2003,1120,65,1386,63,0.403,0.439,0.389,0.615,0.350,0.373,0.25,0.813
2003,1139,47,1280,46,0.343,0.383,0.278,0.75,0.323,0.364,0.286,0.571
2003,1196,85,1358,55,0.447,0.525,0.464,0.571,0.332,0.333,0.333,0.611
2003,1231,67,1104,62,0.427,0.388,0.389,0.846,0.436,0.423,0.417,0.813
2003,1246,95,1237,64,0.529,0.615,0.5,0.455,0.378,0.367,0.267,0.727
2003,1257,86,1122,64,0.431,0.5,0.333,0.615,0.378,0.444,0.095,0.636
2003,1268,75,1423,73,0.471,0.5,0.526,0.733,0.382,0.364,0.448,0.769
2003,1277,79,1160,64,0.494,0.464,0.538,0.8,0.393,0.433,0.357,0.412
2003,1329,77,1335,63,0.468,0.54,0.35,0.571,0.477,0.488,0.444,0.938
2003,1338,87,1447,61,0.516,0.559,0.563,0.571,0.382,0.412,0.333,0.667
2003,1345,80,1261,56,0.524,0.519,0.563,0.895,0.300,0.333,0.231,0.588
2003,1393,76,1264,65,0.546,0.577,0.364,0.8,0.361,0.361,0.286,0.833
2003,1400,82,1421,61,0.472,0.5,0.375,0.7,0.345,0.371,0.238,0.833
2003,1428,60,1332,58,0.326,0.295,0.391,0.833,0.351,0.345,0.176,0.708
2003,1448,76,1190,73,0.377,0.42,0.261,0.6,0.443,0.4,0.5,0.714
2003,1462,71,1407,59,0.386,0.406,0.3,0.722,0.305,0.354,0.379,0.333
